param_n_neighbors,param_weights,param_metric,mean_train_score,mean_test_score,std_test_score,rank_test_score
31,distance,euclidean,1.0,0.6919189531447868,0.021102679628143106,1
31,uniform,euclidean,0.7731675812579147,0.6913144786829886,0.020868221223599815,2
25,distance,manhattan,1.0,0.6883613338961586,0.019706110750629627,3
29,distance,euclidean,1.0,0.6874157872520051,0.0212956510679396,4
27,distance,manhattan,1.0,0.6868754748839173,0.019294264031318616,5
23,distance,manhattan,1.0,0.6865512874630646,0.01715752997264534,6
31,distance,manhattan,1.0,0.686492190797805,0.019987907952940438,7
29,distance,manhattan,1.0,0.6863486703250317,0.019830849405775463,8
29,uniform,euclidean,0.7748653440270156,0.6860785141409877,0.020904564918647058,9
25,uniform,manhattan,0.7790683832840861,0.6853744195863234,0.020773885237677994,10
21,distance,manhattan,1.0,0.6848509919797383,0.0185000758667034,11
27,uniform,manhattan,0.7770144575770367,0.6833296749683411,0.02094622454172586,12
23,uniform,manhattan,0.7810784086112283,0.6832807091599832,0.01666215573419219,13
29,uniform,manhattan,0.7738132123258759,0.6830561418319967,0.021350930806168532,14
31,uniform,manhattan,0.7709254959898691,0.6827724778387505,0.02038786785619464,15
19,distance,manhattan,1.0,0.6817036724356269,0.017016682119493552,16
27,distance,euclidean,1.0,0.6814335162515829,0.017891446086470628,17
21,uniform,manhattan,0.7850212114816378,0.6809641198818067,0.018218198684358568,18
27,uniform,euclidean,0.7755309202195019,0.6797247783875052,0.01718455060891962,19
19,uniform,manhattan,0.7910766146053186,0.6791523849725623,0.01736186847727831,20
25,distance,euclidean,1.0,0.678787674124103,0.01778187904812183,21
23,distance,euclidean,1.0,0.67809202195019,0.014952510260197591,22
17,distance,manhattan,1.0,0.6777745884339383,0.018470204720559526,23
25,uniform,euclidean,0.7793682988602786,0.6773389615871676,0.016978631763072433,24
23,uniform,euclidean,0.7855083368509921,0.6771802448290417,0.014096386509128152,25
21,distance,euclidean,1.0,0.676707471506965,0.020358101955952956,26
21,uniform,euclidean,0.7916944913465597,0.6754664415365134,0.020059997734145206,27
17,uniform,manhattan,0.7958808569016462,0.6754292950612072,0.019769970320063012,28
19,distance,euclidean,1.0,0.6742355424229632,0.019996013188130914,29
19,uniform,euclidean,0.7946817222456733,0.6737340650063317,0.018912852974946853,30
15,distance,manhattan,1.0,0.6706238919375265,0.02106062611328079,31
13,distance,manhattan,1.0,0.6682549598986915,0.015636228543312716,32
17,distance,euclidean,1.0,0.6672942169691853,0.018603703475675405,33
15,uniform,euclidean,0.8034749894470241,0.6671591388771633,0.01803843096358447,34
15,uniform,manhattan,0.8022971718024484,0.6671473195441113,0.02428498367372771,35
17,uniform,euclidean,0.7985677501055297,0.666578303081469,0.018460778843637053,36
15,distance,euclidean,1.0,0.6664820599409034,0.01735101818597375,37
13,uniform,manhattan,0.8101828830730264,0.6656175601519628,0.01858261446406747,38
13,uniform,euclidean,0.807287146475306,0.663064584212748,0.025521859630365847,39
13,distance,euclidean,1.0,0.6629295061207261,0.023181467799714226,40
11,distance,manhattan,1.0,0.6620211059518784,0.015359477943857388,41
11,uniform,manhattan,0.8215254326720135,0.6575669058674546,0.014837758719501968,42
9,distance,manhattan,1.0,0.651311101730688,0.01821247575713437,43
11,distance,euclidean,1.0,0.6485892781764458,0.019748711553067313,44
9,uniform,manhattan,0.8356636766568173,0.6467910510764036,0.017663883797026266,45
11,uniform,euclidean,0.8154112494723511,0.644867876741241,0.0222657312155466,46
9,distance,euclidean,1.0,0.6433837062051498,0.018344587742413085,47
7,distance,manhattan,1.0,0.642571549176868,0.018100797927912547,48
9,uniform,euclidean,0.8296244195863233,0.6402802870409455,0.021885602545229303,49
7,uniform,manhattan,0.8530827353313635,0.6392081046855214,0.014528056780762015,50
7,distance,euclidean,1.0,0.6327530603630225,0.015775023966214656,51
7,uniform,euclidean,0.8499779442802872,0.632651751794006,0.020101310767368322,52
5,distance,manhattan,1.0,0.6229717180244829,0.021257415157088292,53
5,uniform,manhattan,0.8789839594765724,0.6183081468974251,0.021571305860045874,54
5,distance,euclidean,1.0,0.6172275221612494,0.011429742178107875,55
5,uniform,euclidean,0.8777173913043479,0.6164947235120304,0.01348888015191355,56
3,distance,manhattan,1.0,0.6073718868720979,0.01957174709793799,57
3,uniform,manhattan,0.9206871042634022,0.6064398480371465,0.019267550776797218,58
3,distance,euclidean,1.0,0.5982997045166737,0.006883800681381607,59
3,uniform,euclidean,0.9204429084001688,0.5981983959476572,0.008646166222762023,60
